"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
159866,"Research Engineer, Science","London, UK","Full-time","177283.0","2023-06-28 21:00:41","DeepMind"
258461,"Data Architect","Bristol, UK","Full-time","165000.0","2023-02-13 16:32:46","AND Digital"
1563887,"Data Architect","Cambridge, UK","Full-time","165000.0","2023-08-17 12:17:54","Darktrace"
478395,"Data Architect","London, UK","Full-time","163782.0","2023-03-01 22:26:19","Logispin"
585859,"Research Scientist, Science","London, UK","Full-time","149653.0","2023-06-29 19:18:22","DeepMind"
217504,"Analytics Engineer - ENA London, Warsaw- (F/M)","London, UK","Full-time","139216.0","2023-04-21 10:38:48","AccorCorpo"
307234,"Finance Data Analytics Manager","Manchester, UK","Full-time","132500.0","2023-04-01 12:20:22","AJ Bell"
4851,"Business Intelligence Data Analyst","London, UK","Full-time","111175.0","2023-03-24 10:22:34","Ocorian"
178006,"Data Analyst - (Ratings Ops)","London, UK","Full-time","111175.0","2023-05-17 01:21:58","Sylvera"
1396666,"Data Analyst - Financial services","Newcastle upon Tyne, UK","Full-time","111175.0","2023-02-28 14:23:24","Version 1"
1107489,"Research Scientist - (12 month FTC)","Llandudno, UK","Contractor","106830.0","2023-07-01 07:14:13","CGG"
1365203,"Sales Insight and Data Manager","Nottingham, UK","Full-time","105650.0","2023-02-25 08:51:40","Experian"
1751909,"Data Analyst","London, UK","Full-time","105000.0","2023-07-04 13:16:42","Informa Group Plc."
840183,"Data Analyst","Staines-upon-Thames, UK","Full-time","105000.0","2023-07-01 09:14:20","IFS"
1236949,"Data Analyst","Stockport, UK","Full-time","105000.0","2023-07-23 00:12:17","NielsenIQ"
522268,"Data Analyst","London, UK","Full-time","102500.0","2023-01-25 09:50:48","Verisk"
570285,"Data Analyst","Manchester, UK","Full-time","100500.0","2023-07-07 00:14:59","Friend MTS"
1301898,"Data Analyst","Glasgow, UK","Full-time","100500.0","2023-07-01 17:13:57","Sword"
1031606,"Founding Data Analyst","London, UK","Full-time","100500.0","2023-07-14 18:16:21","Relay Technologies"
450176,"Data Analyst- Gas & Power","London, UK","Full-time","100500.0","2023-07-14 20:16:23","Energy Aspects Ltd"
